,NAME,B01001_001E,B25001_001E,B25002_001E,B25004_001E,B25005_001E,B25048_001E,B25052_001E,B25006_001E,B25007_012E,B25041_003E,B25041_004E,B25041_005E,B25041_006E,B25041_007E,B25019_001E,B06011_001E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,msa
419,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",1990660,706285,706285,43443,43443,662842,662842,662842,296893,100681,171465,217986,144738,36909,3661812,50985,158083,195956,305262,384399,348955,41940
420,"San Juan-Bayamón-Caguas, PR Metro Area",2031885,975423,975423,222880,222880,752543,752543,752543,238641,55558,181757,556092,138836,17436,4653891,,,,,,,41980
421,"San Luis Obispo-Paso Robles, CA Metro Area",283111,123969,123969,17457,17457,106512,106512,106512,40029,10879,39172,51567,16706,2174,672166,32788,17672,37166,65274,43577,27494,42020
422,"Santa Cruz-Watsonville, CA Metro Area",273213,107137,107137,,9427,97710,97710,97710,39157,12289,34337,38664,14451,2118,557729,35870,22669,27947,51127,45805,33573,42100
423,"Santa Fe, NM Metro Area",150358,73550,73550,11368,11368,62182,62182,62182,17797,6409,18904,34034,10117,1914,401227,31142,13323,21824,32412,24250,21033,42140
424,"Santa Maria-Santa Barbara, CA Metro Area",446499,159286,159286,12820,12820,146466,146466,146466,70033,23749,42179,55900,24223,5413,815407,31815,52175,50633,79484,57383,38659,42200
425,"Santa Rosa-Petaluma, CA Metro Area",494336,208293,208293,17604,17604,190689,190689,190689,72168,25100,61907,78946,32869,4806,1106916,40112,37119,68082,119449,83916,50558,42220
426,"Savannah, GA Metro Area",393353,165682,165682,23103,23103,142579,142579,142579,56349,14842,35953,79446,25959,7048,987027,30155,25266,69696,84398,54984,31095,42340
427,"Scranton--Wilkes-Barre, PA Metro Area",553885,264847,264847,34637,34637,230210,230210,230210,77718,23791,59147,123579,39518,12540,1649373,29337,34362,155544,109845,59086,37864,42540
429,"Seattle-Tacoma-Bellevue, WA Metro Area",3979845,1644721,1644721,103476,103476,1541245,1541245,1541245,620853,234136,390680,533860,317006,84592,9239404,44395,202997,537480,828279,754202,485529,42660
430,"Sebastian-Vero Beach, FL Metro Area",159923,82262,82262,18345,18345,63917,63917,,14508,4222,29649,36757,9750,886,461597,29219,11351,36038,38120,25733,13206,42680
431,"Sebring-Avon Park, FL Metro Area",106221,56119,56119,12768,12768,43351,43351,43351,8665,4417,24323,21403,4731,251,292292,26069,11994,28880,26314,8955,4522,42700
435,"Sheboygan, WI Metro Area",115340,51418,51418,2727,2727,48691,48691,48691,13861,5100,11973,23399,7895,2155,314098,35020,4133,28075,26041,16532,5963,43100
438,"Sherman-Denison, TX Metro Area",136212,57459,57459,8435,8435,49024,49024,49024,15098,5946,12960,29037,7507,1001,331869,27244,9430,28562,33895,13292,6667,43300
440,"Shreveport-Bossier City, LA Metro Area",394706,185281,185281,31457,31457,153824,153824,153824,53887,13380,43303,92961,28620,4104,1054038,24771,33446,91252,81300,37093,23632,43340
441,"Sierra Vista-Douglas, AZ Metro Area",125922,61588,61588,9606,9606,51982,51982,51982,16729,4112,14522,28335,10267,1852,349118,29063,10049,23731,32552,13332,8769,43420
442,"Sioux City, IA-NE-SD Metro Area",144670,60583,60583,,,56092,56092,56092,18867,5492,18501,22504,9215,3528,371917,31028,12482,31955,28937,14578,6854,43580
443,"Sioux Falls, SD Metro Area",268833,113783,113783,6284,6284,107499,107499,107499,37265,12515,30560,31803,25333,11703,722960,36483,13190,45850,57277,42944,18673,43620
445,"South Bend-Mishawaka, IN-MI Metro Area",323613,144022,144022,17691,17691,126331,126331,126331,37042,12740,37465,60216,23749,6819,889537,27896,21699,69309,63025,36542,24634,43780
446,"Spartanburg, SC Metro Area",319785,134034,134034,12778,12778,121256,121256,121256,33265,6586,30405,69197,20675,5231,796521,29308,28990,62044,68898,34514,22685,43900
447,"Spokane-Spokane Valley, WA Metro Area",568521,245158,245158,15278,15278,229880,229880,229880,85787,27547,68802,77895,46402,18313,1491490,30799,25007,93417,156838,73581,43266,44060
448,"Springfield, IL Metro Area",207003,98006,98006,,9612,88394,88394,88394,28759,7609,31575,38206,15505,3228,591253,36855,10076,40903,45272,31425,17558,44100
449,"Springfield, MA Metro Area",697382,292482,292482,21583,21583,270899,270899,270899,100040,36413,86407,111724,41605,10266,1649343,31107,51691,140168,120092,89700,72282,44140
450,"Springfield, MO Metro Area",467516,206410,206410,8391,8391,198019,198019,198019,81335,18475,55003,88218,28361,10661,1180222,27318,28996,96908,98290,54187,31008,44180
451,"Springfield, OH Metro Area",134083,61251,61251,,6845,54406,54406,54406,17943,5811,16411,28435,7611,2146,359966,27133,8789,38412,29775,8578,6328,44220
452,"State College, PA Metro Area",162385,67401,67401,8438,8438,58963,58963,58963,23218,8622,15837,27360,10798,2905,410354,26441,6991,28690,21033,21785,22387,44300
454,"Staunton, VA Metro Area",123120,56230,56230,,5088,51142,51142,,14394,4030,13873,28593,7420,2112,356611,32791,11412,33399,24169,13014,8999,44420
457,"Stockton, CA Metro Area",762148,248673,248673,18432,18432,230241,230241,230241,95813,18832,59814,97536,53096,12958,1394270,30821,98926,141126,147865,68256,28539,44700
458,"Sumter, SC Metro Area",140466,66579,66579,10120,10120,56459,56459,56459,19207,2096,11617,39890,10734,1832,398811,25440,14059,30404,31749,12188,6927,44940
460,"Syracuse, NY Metro Area",648593,296954,296954,41110,41110,255844,255844,255844,81350,32219,69088,120921,55401,12960,1822028,32680,38936,129499,131223,80055,64223,45060
462,"Tallahassee, FL Metro Area",386454,177198,177198,24550,24550,152648,152648,152648,64280,17011,41103,82720,28637,5084,959196,29067,25563,54169,70306,53810,40963,45220
463,"Tampa-St. Petersburg-Clearwater, FL Metro Area",3194831,1450652,1450652,222171,222171,1228481,1228481,1228481,408690,169126,519604,489214,205558,36919,7822212,30609,237689,661435,686159,470613,262762,45300
464,"Terre Haute, IN Metro Area",185782,83440,83440,10541,10541,72899,72899,72899,22804,8564,26068,33536,10618,2237,483167,25331,11168,47108,40609,15481,9831,45460
465,"Texarkana, TX-AR Metro Area",149308,66283,66283,11255,11255,55028,55028,55028,19412,3690,15392,36315,6876,1402,373752,27440,12610,37157,34434,11538,6345,45500
466,"The Villages, FL Metro Area",132420,74248,74248,14790,14790,,59458,,6862,3530,23077,43431,3426,282,393198,28594,6557,37763,34762,24444,14860,45540
467,"Toledo, OH Metro Area",641816,304246,304246,36157,36157,268089,268089,268089,96603,30909,80306,126747,53266,9136,1871754,29994,40524,132826,139353,77324,45299,45780
468,"Topeka, KS Metro Area",231969,105564,105564,10012,10012,95552,95552,95552,29338,8125,27990,45644,15268,4267,636384,33551,10070,51181,51021,29850,16288,45820
471,"Trenton-Princeton, NJ Metro Area",367430,145133,145133,14282,14282,130851,130851,130851,49000,19583,34031,46529,31602,7686,874983,36850,27887,57906,52013,57081,53328,45940
473,"Tucson, AZ Metro Area",1047279,466337,466337,55933,55933,410404,410404,410404,151943,64963,123116,171975,77467,14070,2476221,28704,84287,156065,238289,134431,97377,46060
475,"Tulsa, OK Metro Area",998655,436691,436691,49515,49515,387176,387176,387176,136354,47386,91251,208092,69302,13498,2538789,31009,68798,193243,213149,129734,63780,46140
477,"Tuscaloosa, AL Metro Area",251836,115441,115441,24580,24580,90861,90861,90861,30935,8771,28600,55610,17138,4356,652286,24751,20308,52113,43354,27779,17756,46220
478,"Twin Falls, ID Metro Area",109784,42611,42611,,2957,39654,39654,,12208,2323,9335,18495,8441,2847,258152,29286,11654,18605,24889,7615,6130,46300
479,"Tyler, TX Metro Area",232751,91844,91844,13244,13244,78600,78600,78600,26085,7472,19460,46171,14591,1849,508442,28364,19421,36383,55124,28130,13675,46340
481,"Urban Honolulu, HI Metro Area",974563,354719,354719,38263,38263,316456,316456,316456,134922,43752,94058,113236,58527,20203,1739878,38315,50353,175946,210452,159284,84671,46520
482,"Utica-Rome, NY Metro Area",289990,139532,139532,23628,23628,115904,115904,115904,35453,12705,33848,61482,21432,8144,857079,31719,21744,63611,62473,31198,23610,46540
483,"Valdosta, GA Metro Area",145738,63755,63755,9330,9330,54425,54425,54425,23798,2020,14599,34233,10576,1202,358694,26252,9380,29627,29955,15003,6077,46660
484,"Vallejo, CA Metro Area",447643,159804,159804,9411,9411,150393,150393,150393,56851,15485,36592,59018,36732,7727,907696,39559,33489,73322,114074,59359,30463,46700
485,"Victoria, TX Metro Area",99090,40830,40830,,8203,32627,32627,32627,10131,4161,10775,19248,4709,407,218325,26319,10822,20499,21648,7463,4311,47020
486,"Vineland-Bridgeton, NJ Metro Area",149527,56471,56471,5111,5111,51360,51360,51360,17556,4869,14322,24113,8693,1451,330455,27212,19296,41449,25417,10657,5882,47220
487,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",1765031,742006,742006,66695,66695,675311,675311,675311,262738,54615,181242,294827,160483,42453,4575886,34435,99642,294646,407803,233989,158827,47260
488,"Visalia, CA Metro Area",466195,151599,151599,7490,7490,144109,144109,144109,58729,8339,35749,74696,26179,3587,823540,27591,71794,70964,96866,25160,12673,47300
489,"Waco, TX Metro Area",270868,111836,111836,12892,12892,98944,98944,98944,37268,10462,27037,50964,19493,2625,626988,26576,23513,45252,57570,26303,15145,47380
490,"Walla Walla, WA Metro Area",60760,25100,25100,,1933,23167,23167,,7621,2600,7437,8661,4713,1308,155198,31795,3948,8604,15016,7671,5451,47460
491,"Warner Robins, GA Metro Area",185409,77309,77309,8478,8478,68831,68831,68831,25388,4123,16327,36957,14287,4171,463494,32699,10270,37223,38284,19068,14638,47580
493,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",6280697,2401483,2401483,150481,150481,2251002,2251002,2251002,821193,331532,494673,693842,558692,246749,15442515,49957,386850,775315,932699,1132060,1083660,47900
494,"Waterloo-Cedar Falls, IA Metro Area",168522,74636,74636,7499,7499,67137,67137,67137,20251,6616,23746,28155,11565,3403,442322,31580,6881,35621,33597,21865,10725,47940
496,"Watertown-Fort Drum, NY Metro Area",109834,60160,60160,18946,18946,41214,41214,41214,17878,6540,19363,22428,8738,2067,343790,30338,6465,25321,22571,9421,6241,48060
497,"Wausau-Weston, WI Metro Area",163285,77280,77280,9938,9938,67342,67342,67342,18001,5600,20861,31320,13479,4493,469969,32891,8479,41456,38426,18612,8505,48140
498,"Weirton-Steubenville, WV-OH Metro Area",115816,57544,57544,7479,7479,50065,50065,50065,14572,3777,17911,26951,7367,1214,347591,28973,7827,37247,25133,9954,4935,48260
499,"Wenatchee, WA Metro Area",120629,56052,56052,11574,11574,44478,44478,44478,15615,4763,14959,22650,10005,2050,307297,29846,15110,22393,24558,14039,6355,48300
500,"Wheeling, WV-OH Metro Area",138948,68802,68802,13006,13006,55796,55796,,14462,6865,20650,29938,8256,1969,407223,27014,7397,44118,28173,13119,8508,48540
502,"Wichita, KS Metro Area",640218,275445,275445,28609,28609,246836,246836,246836,87537,24959,70947,102772,45626,24282,1731453,31595,39223,111325,138858,84363,46077,48620
503,"Wichita Falls, TX Metro Area",151254,65705,65705,9032,9032,56673,56673,56673,20559,5811,17743,30863,8553,748,369014,26787,11494,34365,31039,13377,8779,48660
504,"Williamsport, PA Metro Area",113299,53647,53647,8805,8805,44842,44842,,13634,4637,12812,24028,8652,2526,333529,28911,8299,31786,20853,12418,7135,48700
505,"Wilmington, NC Metro Area",297533,144853,144853,23119,23119,121734,121734,121734,45627,11139,34141,70158,20269,6300,820546,30445,16119,43863,65327,52722,28254,48900
507,"Winchester, VA-WV Metro Area",139125,60227,60227,10165,10165,50062,50062,50062,13898,3348,16169,24962,11010,3772,387877,32882,11454,33100,26150,14382,11411,49020
508,"Winston-Salem, NC Metro Area",676008,303972,303972,33699,33699,270273,270273,270273,87253,18992,80845,147980,45142,7989,1801155,29837,57933,140777,144793,81489,46023,49180
511,"Worcester, MA-CT Metro Area",947404,387845,387845,24668,24668,363177,363177,363177,127577,43306,103130,153319,66100,14560,2291436,35570,55537,191318,179341,138850,93873,49340
512,"Yakima, WA Metro Area",250873,89751,89751,5759,5759,83992,83992,83992,30713,5378,23396,38847,13727,3616,511089,27209,39099,42786,45403,17003,9510,49420
513,"Yauco, PR Metro Area",89949,44628,44628,14232,14232,30396,30396,,8035,1093,7069,31048,3945,809,215203,,,,,,,49500
514,"York-Hanover, PA Metro Area",449058,185652,185652,10211,10211,175441,175441,175441,43776,14897,38002,84707,36112,9834,1208110,34376,31381,119648,80459,54403,28632,49620
515,"Youngstown-Warren-Boardman, OH-PA Metro Area",536081,259281,259281,28638,28638,230643,230643,230643,67750,19220,63159,126563,38229,6623,1575405,26643,39797,152086,103534,57347,29988,49660
516,"Yuba City, CA Metro Area",175639,63628,63628,3762,3762,59866,59866,59866,23350,5038,15405,28919,10231,2090,355613,29077,22547,27515,41324,14406,7874,49700
517,"Yuma, AZ Metro Area",213787,94648,94648,20606,20606,74042,74042,74042,24943,19039,20801,35535,12985,957,444355,24927,35341,35591,46728,12459,6968,49740
